loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,mths_since_earliest_cr_line,issue_month,y
12000,12000,60,16.2,293.1,C,C4,0,RENT,35000,Verified,debt_consolidation,CA,9.58,0,0,,4,0,9523,59.5,12,f,0.0,0,0.0,9523.0,16000.0,141,2013-11,0
10400,10400,36,16.29,367.13,C,C4,10,RENT,76000,Verified,medical,MD,27.28,0,1,,10,0,21568,73.4,24,f,0.0,0,0.0,270915.0,29400.0,283,2013-01,0
9000,9000,36,9.17,286.92,B,B1,8,RENT,65000,Not Verified,debt_consolidation,IL,15.58,0,0,,6,1,8782,68.6,12,w,0.0,0,0.0,31657.0,12800.0,145,2014-06,0
32200,32200,60,15.61,776.39,C,C5,6,MORTGAGE,72000,Source Verified,debt_consolidation,PA,17.8,1,0,5.0,12,0,15391,57.6,32,f,0.0,0,0.0,272280.0,28100.0,180,2014-03,0
20000,20000,60,14.33,468.8,C,C2,10,MORTGAGE,55000,Source Verified,debt_consolidation,NY,22.41,0,1,31.0,11,0,9591,40.6,27,f,0.0,0,0.0,117883.0,23600.0,339,2013-09,1
25000,25000,36,7.9,782.26,A,A4,3,RENT,87500,Verified,debt_consolidation,FL,4.58,0,1,,17,0,24988,16.9,36,f,0.0,0,,,,314,2012-03,0
16000,16000,36,11.14,524.89,B,B2,4,MORTGAGE,80000,Not Verified,credit_card,CA,19.19,1,1,7.0,11,0,38011,78.4,25,f,0.0,0,0.0,314440.0,48500.0,350,2012-12,0
14000,14000,60,11.14,305.38,B,B2,8,RENT,80000,Verified,debt_consolidation,NY,6.26,0,1,,9,0,6260,27.3,17,f,0.0,0,,,,169,2012-07,0
15000,15000,36,12.98,505.27,C,C3,0,MORTGAGE,82000,Verified,credit_card,MN,14.25,0,0,,12,1,16223,76.9,29,f,0.0,0,,,,272,2010-11,0
10000,10000,36,11.44,329.48,B,B4,6,MORTGAGE,60000,Source Verified,debt_consolidation,CA,26.68,2,0,17.0,15,0,8798,20.3,56,f,0.0,0,0.0,380464.0,43300.0,308,2014-11,0
15000,15000,36,17.58,539.14,D,D4,0,RENT,100000,Source Verified,debt_consolidation,IL,16.92,0,2,52.0,13,0,18522,58.8,26,f,0.0,0,,,,177,2012-02,0
7000,7000,36,12.99,235.83,B,B5,10,MORTGAGE,133000,Not Verified,debt_consolidation,MD,17.22,3,2,22.0,13,0,18062,75.9,39,w,0.0,0,0.0,390939.0,23800.0,281,2014-03,0
25000,25000,36,19.22,919.19,D,D4,0,RENT,121000,Source Verified,debt_consolidation,FL,21.34,0,4,,11,0,24807,92.9,19,f,0.0,0,0.0,92388.0,26700.0,140,2014-01,0
2000,2000,36,14.65,68.99,C,C2,2,RENT,23040,Verified,debt_consolidation,CA,16.41,1,0,18.0,9,0,3252,45.2,14,f,0.0,0,,,,127,2012-05,1
13200,13200,60,24.08,380.36,F,F2,7,RENT,40000,Verified,debt_consolidation,CA,19.39,0,2,,15,0,12183,45.6,33,w,0.0,0,96.0,15830.0,26700.0,225,2014-05,0
10400,10400,36,13.98,355.35,C,C3,10,MORTGAGE,53000,Not Verified,credit_card,OK,8.74,0,1,31.0,9,0,10334,80.1,15,w,0.0,0,0.0,71849.0,12900.0,384,2014-08,0
10000,10000,36,8.9,317.54,A,A5,4,MORTGAGE,48000,Source Verified,credit_card,OH,21.33,0,0,,6,0,5821,74.6,21,f,0.0,0,0.0,171232.0,7800.0,162,2013-12,0
22000,22000,60,19.52,577.01,E,E2,9,MORTGAGE,66800,Source Verified,debt_consolidation,NC,15.79,0,2,,7,0,12514,84.6,23,w,0.0,0,0.0,175107.0,14800.0,168,2014-09,0
12000,12000,36,14.16,411.07,C,C2,0,MORTGAGE,65000,Verified,debt_consolidation,CA,12.39,0,2,47.0,11,0,7233,37.7,20,f,0.0,0,4615.0,468929.0,19200.0,164,2014-03,0
10800,10800,36,7.12,334.07,A,A3,1,RENT,40000,Not Verified,credit_card,NY,13.44,0,0,,7,0,9110,33.5,19,f,0.0,0,0.0,19076.0,27200.0,228,2014-05,0
20000,20000,36,9.62,641.79,B,B3,0,OWN,63400,Source Verified,wedding,NC,18.19,0,0,,6,0,17998,88.7,12,f,0.0,0,,,,193,2011-01,0
20000,20000,36,12.49,668.98,B,B5,1,RENT,93600,Source Verified,debt_consolidation,CA,18.97,0,1,,10,0,21845,73.3,24,f,0.0,0,0.0,57763.0,29800.0,123,2014-10,0
12000,12000,36,15.31,417.81,C,C4,10,RENT,49000,Not Verified,debt_consolidation,PA,23.0,0,0,,18,0,21206,93.0,25,f,0.0,0,0.0,83938.0,22800.0,438,2014-04,0
3000,3000,36,23.4,116.76,E,E5,0,RENT,67640,Verified,other,WA,26.93,3,0,7.0,9,0,25340,95.3,23,f,0.0,0,0.0,43194.0,26600.0,284,2014-01,0
12000,12000,60,17.56,301.86,E,E4,10,OWN,48000,Verified,credit_card,WI,12.65,0,0,34.0,6,0,9331,93.3,16,f,0.0,0,,,,236,2010-06,1
10000,10000,36,11.14,328.06,B,B2,10,RENT,85000,Verified,credit_card,PA,13.51,0,0,,7,0,9280,72.5,10,w,0.0,0,0.0,39856.0,12800.0,156,2013-06,0
16000,16000,36,10.16,517.48,B,B1,6,RENT,88000,Not Verified,debt_consolidation,CA,9.19,0,2,45.0,10,0,7334,24.9,23,f,0.0,0,0.0,24109.0,29500.0,143,2013-02,0
5000,5000,36,13.99,170.87,C,C1,0,RENT,50000,Source Verified,credit_card,CA,9.46,0,0,,9,0,4232,83.0,11,f,0.0,0,,,,119,2012-06,0
20000,20000,60,13.99,465.27,C,C3,9,MORTGAGE,105000,Verified,debt_consolidation,CA,7.67,0,1,,16,0,19581,41.0,27,f,0.0,0,,,,279,2011-06,0
9600,9600,36,11.14,314.93,B,B2,10,OWN,62000,Not Verified,debt_consolidation,NY,9.06,0,0,,13,0,19972,38.0,21,w,0.0,0,0.0,19972.0,52612.0,273,2013-05,1
20125,20125,60,21.7,552.41,E,E2,10,RENT,45000,Verified,debt_consolidation,VA,24.29,0,0,73.0,8,0,11644,85.0,14,f,0.0,0,0.0,22863.0,13700.0,209,2013-12,0
15000,15000,36,7.62,467.43,A,A3,10,RENT,70000,Not Verified,debt_consolidation,CA,9.87,0,0,,10,0,5447,14.6,22,f,0.0,0,0.0,21666.0,37300.0,215,2012-09,0
10000,10000,36,11.67,330.57,B,B4,8,RENT,75000,Source Verified,moving,CA,14.53,0,1,,16,0,5645,8.9,27,w,0.0,0,0.0,11440.0,63200.0,261,2014-08,0
8050,8050,36,18.64,293.62,E,E1,0,OWN,20052,Verified,credit_card,CA,12.15,0,0,,4,0,5947,97.5,4,f,0.0,0,,,,161,2012-01,1
6025,6025,36,15.31,209.78,C,C4,4,RENT,17000,Source Verified,debt_consolidation,OH,21.4,0,3,,20,0,5888,14.7,44,w,0.0,0,0.0,6140.0,40100.0,191,2014-04,0
3500,3500,36,12.12,116.46,B,B3,10,MORTGAGE,52000,Not Verified,debt_consolidation,TX,10.87,0,0,27.0,9,0,9971,57.6,32,f,0.0,0,,,,250,2012-07,0
12600,12600,36,9.99,406.51,B,B1,2,MORTGAGE,42500,Source Verified,debt_consolidation,TX,19.6,0,3,79.0,9,0,10341,67.6,39,f,0.0,0,,,,248,2011-08,0
4000,4000,36,10.15,129.36,B,B2,1,RENT,40000,Not Verified,other,PA,18.45,0,2,33.0,10,0,3818,30.5,32,f,0.0,0,0.0,20118.0,12500.0,273,2014-08,1
4000,4000,36,12.12,133.09,B,B3,0,RENT,15036,Verified,home_improvement,VA,21.07,0,0,,3,0,3693,83.9,8,f,0.0,0,0.0,4364.0,4400.0,199,2012-10,0
18000,18000,36,11.14,590.5,B,B2,0,MORTGAGE,105000,Verified,debt_consolidation,GA,12.62,0,1,80.0,11,0,10828,51.8,22,f,0.0,0,0.0,294672.0,20900.0,251,2013-04,0
16325,16325,36,13.11,550.92,B,B4,7,RENT,41500,Source Verified,debt_consolidation,FL,22.21,0,0,,13,0,19309,48.2,28,f,0.0,0,,,,193,2012-08,0
6500,6500,36,10.74,212.01,B,B4,1,RENT,40000,Source Verified,car,IL,19.29,1,2,7.0,6,0,2909,23.8,18,f,0.0,0,,,,189,2011-04,0
10000,10000,36,8.94,317.72,A,A5,3,RENT,60350,Source Verified,credit_card,NY,4.24,0,2,,12,0,14188,27.3,24,f,0.0,0,,,,169,2009-08,0
11200,11200,60,13.98,260.49,C,C3,10,MORTGAGE,46000,Not Verified,debt_consolidation,SC,4.23,0,0,,9,0,6626,50.6,22,w,0.0,0,0.0,188447.0,13100.0,185,2014-08,0
12000,12000,36,9.17,382.55,B,B1,6,RENT,130000,Not Verified,debt_consolidation,NY,4.8,1,0,16.0,10,0,8858,68.1,16,w,0.0,0,0.0,31723.0,13000.0,195,2014-06,1
2900,2900,36,6.03,88.27,A,A1,8,RENT,40000,Not Verified,credit_card,CA,12.18,0,0,,9,0,12393,31.3,20,f,0.0,0,,,,245,2012-08,0
4800,4800,36,6.03,146.1,A,A1,8,OWN,73000,Source Verified,home_improvement,OR,23.16,0,0,59.0,8,0,12733,51.1,33,f,0.0,0,,,,301,2012-02,0
8500,8500,36,18.49,309.39,D,D2,10,RENT,24900,Verified,other,AZ,21.98,1,1,20.0,8,0,13069,53.3,16,f,0.0,0,0.0,13069.0,24500.0,189,2012-11,1
8000,8000,36,9.62,256.72,B,B3,5,RENT,36000,Source Verified,credit_card,MI,12.5,0,1,,6,0,13591,67.0,9,f,0.0,0,,,,146,2010-10,0
6000,6000,36,17.56,215.6,D,D1,3,RENT,70000,Not Verified,debt_consolidation,CA,10.7,0,1,31.0,7,0,14412,76.7,20,w,0.0,0,0.0,41370.0,18800.0,247,2013-08,0
2000,2000,36,13.43,67.81,C,C3,10,RENT,75000,Not Verified,other,WA,10.59,0,1,89.0,10,1,3420,95.0,21,f,0.0,0,,,,179,2011-01,0
13000,13000,36,12.49,434.84,B,B4,0,RENT,60000,Source Verified,credit_card,CA,27.9,1,3,16.0,13,0,11708,62.6,24,w,0.0,0,782.0,64516.0,18700.0,316,2014-04,0
24000,24000,36,12.35,801.17,B,B4,3,MORTGAGE,60000,Verified,credit_card,MN,13.96,0,0,,9,0,26198,64.5,21,f,0.0,0,0.0,225895.0,40600.0,219,2013-07,1
10000,10000,60,17.57,251.61,D,D4,3,RENT,27820,Source Verified,debt_consolidation,WI,26.27,0,1,,5,0,8123,82.9,11,w,0.0,0,0.0,35371.0,9800.0,117,2014-07,0
16800,16800,36,10.99,549.94,B,B3,10,MORTGAGE,57000,Source Verified,debt_consolidation,TX,14.76,0,2,33.0,11,0,13269,71.0,28,f,0.0,0,129.0,109146.0,18700.0,378,2014-08,0
10000,10000,36,13.11,337.47,B,B4,7,MORTGAGE,85000,Verified,credit_card,MO,27.88,0,2,35.0,17,0,26597,65.0,41,w,0.0,0,0.0,223668.0,40900.0,259,2013-01,1
16000,16000,36,6.03,486.97,A,A1,4,RENT,85000,Source Verified,major_purchase,MD,5.15,0,0,,6,0,802,0.9,9,f,0.0,0,,,,138,2011-10,0
10000,10000,36,7.9,312.91,A,A4,2,RENT,63000,Source Verified,home_improvement,NY,9.82,0,0,80.0,6,0,43,8.6,10,f,0.0,0,,,,152,2012-03,0
12800,12800,36,11.44,421.73,B,B4,2,RENT,100000,Not Verified,debt_consolidation,NJ,5.6,0,1,,5,0,8689,75.6,8,f,0.0,0,0.0,26554.0,11500.0,110,2014-12,0
24000,24000,60,14.99,570.84,C,C5,1,MORTGAGE,60000,Source Verified,debt_consolidation,NC,24.74,0,0,,10,0,98362,64.5,32,w,0.0,0,0.0,315303.0,119400.0,201,2014-10,1
14500,14500,36,11.14,475.68,B,B2,2,RENT,55000,Not Verified,house,FL,21.12,0,0,,10,0,13058,54.0,23,f,0.0,0,,,,173,2012-07,1
11000,11000,36,8.39,346.69,A,A5,2,MORTGAGE,45000,Source Verified,debt_consolidation,MA,17.07,0,0,47.0,10,0,12353,72.7,30,w,0.0,0,0.0,166047.0,17000.0,168,2014-08,0
7000,7000,36,8.9,222.28,A,A5,1,MORTGAGE,59190,Not Verified,debt_consolidation,WI,9.08,0,0,,6,0,6755,67.5,19,f,0.0,0,,,,197,2012-08,0
15000,15000,36,11.14,492.08,B,B2,2,RENT,103000,Not Verified,debt_consolidation,NY,10.96,0,0,66.0,11,0,14731,49.8,15,w,0.0,0,0.0,33388.0,29600.0,271,2013-01,0
7425,7425,36,16.78,263.91,C,C5,2,RENT,42000,Verified,debt_consolidation,MA,33.51,0,2,,16,0,14820,51.4,23,f,0.0,0,0.0,28170.0,28821.0,181,2013-07,1
20000,20000,36,8.9,635.07,A,A5,7,MORTGAGE,52000,Verified,credit_card,TX,33.16,0,0,,21,0,25689,31.7,42,f,0.0,0,0.0,158508.0,81100.0,236,2014-02,0
18225,18225,60,19.72,480.02,D,D5,10,MORTGAGE,41000,Verified,home_improvement,MO,29.62,0,1,,11,0,31847,65.7,45,w,0.0,0,0.0,145970.0,48507.0,232,2012-11,1
7350,7350,36,19.52,271.36,D,D4,10,MORTGAGE,35000,Not Verified,debt_consolidation,CA,6.04,0,2,43.0,3,0,3926,56.9,19,f,0.0,0,0.0,3926.0,6900.0,225,2013-11,1
13500,13500,36,10.0,435.61,B,B2,6,MORTGAGE,36000,Not Verified,debt_consolidation,NV,21.7,0,0,,5,0,23592,78.6,14,f,0.0,0,,,,191,2011-01,0
10000,10000,36,15.31,348.18,C,C2,7,MORTGAGE,33259,Verified,debt_consolidation,FL,8.42,0,1,62.0,5,0,8563,64.9,8,f,0.0,0,0.0,152246.0,13200.0,213,2012-10,0
28000,28000,36,8.67,886.1,B,B1,10,MORTGAGE,100000,Source Verified,debt_consolidation,MI,22.99,0,0,,25,0,107510,47.4,41,f,0.0,0,0.0,229616.0,226700.0,457,2014-12,0
10000,10000,36,12.12,332.72,B,B3,10,RENT,48000,Not Verified,credit_card,OH,22.43,0,0,,8,0,10692,79.2,24,f,0.0,0,52.0,56057.0,13500.0,201,2012-09,0
30000,30000,60,13.35,687.98,C,C2,1,MORTGAGE,82821,Verified,debt_consolidation,MT,19.97,0,0,,8,0,9294,30.0,30,f,0.0,0,0.0,306254.0,31000.0,218,2014-05,0
10000,10000,36,18.25,362.78,D,D2,10,RENT,61000,Not Verified,debt_consolidation,KY,19.0,0,0,37.0,5,0,6428,72.2,17,f,0.0,0,0.0,37230.0,8900.0,163,2013-08,0
7600,7600,36,11.14,249.32,B,B2,10,RENT,62500,Not Verified,credit_card,CA,2.32,0,1,,4,0,12297,65.4,21,f,0.0,0,0.0,12297.0,18800.0,256,2013-05,0
4400,4400,36,14.84,152.19,D,D1,2,OWN,39000,Not Verified,major_purchase,DE,9.26,0,1,38.0,4,0,5682,84.8,16,f,0.0,0,,,,221,2010-10,0
8000,8000,36,9.99,258.1,B,B1,1,MORTGAGE,36000,Verified,debt_consolidation,NY,17.57,0,0,,9,0,16267,53.5,35,w,0.0,0,0.0,155153.0,30400.0,152,2013-09,0
10000,10000,36,13.98,341.68,C,C3,0,MORTGAGE,75000,Not Verified,credit_card,AL,5.18,0,0,,19,0,10583,85.3,20,w,0.0,0,0.0,159014.0,12400.0,121,2014-10,0
17000,17000,60,13.99,395.48,C,C1,5,RENT,44152,Verified,credit_card,FL,11.25,0,0,,6,0,13864,78.3,13,f,0.0,0,,,,137,2012-04,0
15000,15000,36,7.9,469.36,A,A4,5,RENT,130000,Not Verified,credit_card,NY,5.26,0,0,,15,0,27827,49.8,22,f,0.0,0,0.0,27827.0,55900.0,236,2013-01,0
25000,16425,60,12.99,373.64,C,C1,10,RENT,45000,Source Verified,debt_consolidation,MA,10.05,0,0,,7,0,12615,46.9,15,f,0.0,0,,,,236,2011-05,0
6000,6000,36,15.81,210.38,C,C4,8,RENT,54000,Verified,credit_card,CA,15.62,0,1,24.0,8,0,11831,85.7,30,f,0.0,0,,,,229,2012-04,0
23000,23000,36,8.9,730.33,A,A5,10,RENT,111000,Source Verified,debt_consolidation,RI,18.88,0,1,,11,0,22306,30.9,26,f,0.0,0,0.0,52290.0,72200.0,188,2014-03,0
4000,4000,36,13.49,135.73,C,C1,6,RENT,34800,Not Verified,debt_consolidation,KY,21.21,0,3,72.0,6,0,2441,55.5,13,f,0.0,0,,,,155,2011-10,0
9000,9000,36,13.11,303.73,B,B4,3,OWN,45000,Not Verified,credit_card,NV,20.57,0,1,,10,0,10726,51.9,11,f,0.0,0,0.0,21096.0,20682.0,297,2012-11,0
12000,12000,36,10.36,389.24,B,B5,4,RENT,80004,Not Verified,other,CA,4.59,0,0,,6,0,8866,92.4,9,f,0.0,0,,,,247,2011-01,0
12000,12000,36,13.53,407.4,B,B5,6,MORTGAGE,65000,Verified,debt_consolidation,SC,22.38,0,1,62.0,11,1,12882,57.5,26,w,0.0,0,369.0,32442.0,22400.0,281,2013-12,0
12000,12000,60,19.52,314.74,E,E2,5,OWN,62000,Verified,debt_consolidation,MA,30.8,0,0,,20,0,17225,58.4,26,w,0.0,0,0.0,39622.0,29500.0,265,2014-05,0
35000,35000,60,24.5,1017.07,F,F3,4,MORTGAGE,170000,Source Verified,small_business,CA,18.47,0,1,26.0,16,0,320684,65.2,39,w,0.0,0,0.0,747499.06,351000.0,254,2013-11,1
15000,15000,60,12.99,341.22,C,C1,0,MORTGAGE,45000,Verified,debt_consolidation,MN,19.47,0,0,,5,0,10931,18.2,11,f,0.0,0,0.0,150876.0,60000.0,359,2014-07,0
